City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-4.47,68,8,0.12,RU,1714943169
1,waitangi,-43.9535,-176.5597,12.68,90,48,1.79,NZ,1714943372
2,san patricio,28.017,-97.5169,28.81,60,36,7.71,US,1714943373
3,edinburgh of the seven seas,-37.0676,-12.3116,13.87,65,20,13.71,SH,1714943373
4,loango,-4.6719,11.8312,27.81,89,75,3.6,CG,1714943373
5,carnarvon,-24.8667,113.6333,20.72,54,0,8.88,AU,1714943374
6,west island,-12.1568,96.8225,26.99,78,75,6.69,CC,1714943374
7,pisco,-13.7,-76.2167,20.03,88,20,3.6,PE,1714943093
8,ushuaia,-54.8,-68.3,0.7,98,100,1.89,AR,1714943375
9,povorino,51.1945,42.2457,9.24,96,100,1.35,RU,1714943375
10,bredasdorp,-34.5322,20.0403,13.68,69,80,1.56,ZA,1714943375
11,keetmanshoop,-26.5833,18.1333,22.28,18,0,3.26,NA,1714943376
12,bubaque,11.2833,-15.8333,26.09,75,39,8.25,GW,1714943085
13,adamstown,-25.066,-130.1015,21.67,65,63,8.54,PN,1714943376
14,saipan,15.1355,145.701,27.39,78,0,5.14,MP,1714943222
15,port elizabeth,-33.918,25.5701,15.17,78,0,1.54,ZA,1714943188
16,yanjiang,30.1211,104.6481,20.17,76,99,0.67,CN,1714943377
17,port-aux-francais,-49.35,70.2167,5.18,79,90,7.47,TF,1714943377
18,al ghayzah,16.2079,52.176,29.46,76,7,4.61,YE,1714943130
19,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1714943378
20,avarua,-21.2078,-159.775,28.03,83,40,7.2,CK,1714943378
21,okuta,9.2167,3.1833,28.5,63,80,1.58,NG,1714943379
22,zaozersk,69.4005,32.4476,-4.75,83,100,3.69,RU,1714943106
23,margate,51.3813,1.3862,12.95,83,85,1.34,GB,1714943379
24,boca suno,-0.7167,-77.1333,23.63,93,100,1.28,EC,1714943379
25,grytviken,-54.2811,-36.5092,3.44,91,79,5.12,GS,1714943380
26,olonkinbyen,70.9221,-8.7187,0.92,91,100,10.43,SJ,1714943380
27,mancio lima,-7.6142,-72.8958,27.67,84,100,1.36,BR,1714943380
28,puerto natales,-51.7236,-72.4875,2.25,60,40,5.66,CL,1714943381
29,boguchany,58.3814,97.4531,11.03,76,100,4.02,RU,1714943381
30,codrington,-38.2667,141.9667,11.21,87,10,4.49,AU,1714943381
31,rongelap,11.1635,166.8941,27.47,78,76,7.66,MH,1714943084
32,tolanaro,-25.0319,46.9987,23.04,73,20,9.26,MG,1714943092
33,fale old settlement,-9.3852,-171.2468,29.28,77,59,3.69,TK,1714943382
34,usinsk,65.9939,57.5281,-8.85,90,43,3.13,RU,1714943382
35,isafjordur,66.0755,-23.124,2.38,67,71,6.26,IS,1714943383
36,badger,64.8,-147.5333,14.43,39,0,2.06,US,1714943383
37,punta arenas,-53.15,-70.9167,3.06,60,40,4.12,CL,1714943383
38,princeville,45.7668,-61.2985,13.06,64,0,5.66,CA,1714943141
39,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,78,75,3.58,RU,1714943384
40,sao francisco,-15.9486,-44.8644,26.91,40,11,2.03,BR,1714943384
41,bishkul,54.7803,69.1033,1.13,63,9,3.1,KZ,1714943385
